# CaFe Be9 SRC Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# syst_total_real -> randoms-subtracted, integrated yield (varied all cuts simultaneously)
# syst_dVAR_real,err -> randoms-subtracted integrated yield (kept all cuts at central value, and varied only VAR)
entry,syst_total_real,syst_total_real_err,syst_dPm_min_real,syst_dPm_min_real_err,syst_dPm_max_real,syst_dPm_max_real_err,syst_dQ2_real,syst_dQ2_real_err,syst_dXbj_real,syst_dXbj_real_err,syst_dthrq_real,syst_dthrq_real_err,syst_dHcoll_real,syst_dHcoll_real_err,syst_dScoll_real,syst_dScoll_real_err
107,2975.105,55.245,4531.026,68.312,5386.947,74.484,4977.737,71.538,4075.237,64.539,3825.526,62.805,4962.026,71.397,5065.408,72.151
108,5065.026,72.115,5223.763,73.255,5173.816,72.949,4933.724,71.220,4881.658,70.807,5249.105,73.434,4938.684,71.227,5062.408,72.130
109,5834.447,77.537,5064.408,72.144,5281.539,73.722,4806.697,70.304,5312.632,73.995,5739.500,76.740,4966.697,71.433,5064.408,72.144
110,4073.553,64.512,5196.763,73.070,5382.605,74.449,4872.710,70.781,3895.842,63.085,5086.079,72.297,4985.368,71.566,5064.408,72.144
111,4383.434,67.031,5027.408,71.887,5199.158,73.129,4971.737,71.496,4675.526,69.242,5147.092,72.727,4655.592,69.145,5065.408,72.151
112,3864.895,63.145,4696.039,69.519,4689.303,69.420,5111.434,72.487,5106.790,72.470,4434.289,67.549,5146.105,72.729,5063.408,72.137
113,6423.000,81.785,4723.710,69.721,5194.487,73.094,4915.053,71.086,6215.382,80.329,5283.447,73.673,5243.789,73.409,5061.408,72.123
114,4326.776,66.863,4829.382,70.478,5015.053,71.786,4867.710,70.746,5387.040,74.546,4695.684,69.501,4834.658,70.475,5064.408,72.144
115,4015.868,64.050,5526.447,75.304,4889.039,70.893,4908.382,71.036,4146.592,65.106,4378.276,67.123,5249.789,73.450,5064.408,72.144
116,5699.382,77.050,5134.750,72.636,5050.408,72.047,4806.697,70.304,6556.434,82.658,4744.026,69.854,5051.408,72.054,5064.408,72.144
117,4162.000,65.281,4245.342,66.175,4944.711,71.288,4971.737,71.496,4368.697,66.869,6567.579,82.006,4850.000,70.590,5064.408,72.144
118,5093.895,72.224,4723.710,69.721,5038.724,71.953,5153.118,72.786,4663.526,69.155,6144.197,79.352,4914.013,71.051,5064.408,72.144
119,4521.276,67.936,5526.447,75.304,5266.526,73.612,4844.368,70.575,3932.526,63.389,5274.447,73.612,5124.434,72.577,5062.408,72.130
120,3785.605,62.549,4723.710,69.721,5080.408,72.255,4832.368,70.489,5312.632,73.995,4258.921,66.211,4756.960,69.899,5065.408,72.151
121,3306.658,58.071,4439.684,67.634,4930.039,71.182,5162.118,72.848,3512.710,59.863,6215.868,79.805,4977.368,71.511,5065.408,72.151
122,3671.526,61.296,5196.763,73.070,4944.711,71.288,4792.026,70.196,4301.658,66.336,4481.974,67.914,4958.026,71.369,5064.408,72.144
123,4285.211,66.377,5779.803,76.982,4610.250,68.810,4789.355,70.174,5404.382,74.668,4597.000,68.774,4662.592,69.196,5065.408,72.151
124,5631.066,75.964,5027.408,71.887,5198.487,73.121,4850.039,70.618,4745.882,69.764,5949.526,78.113,5285.474,73.705,5064.408,72.144
125,5235.592,73.446,5093.408,72.345,5159.118,72.827,5046.408,72.019,5206.868,73.211,4818.040,70.391,5233.447,73.333,5064.408,72.144
126,5834.842,77.364,4903.053,71.001,4906.039,71.013,4860.710,70.696,5027.395,71.878,6140.197,79.327,5393.500,74.451,5062.408,72.130
127,4067.579,64.744,4245.342,66.175,4988.053,71.597,4806.697,70.304,4870.303,70.712,5258.105,73.495,5149.105,72.750,5060.408,72.116
128,5964.329,78.506,5249.434,73.433,4602.237,68.742,4965.737,71.454,6215.382,80.329,5639.158,76.078,4850.000,70.590,5064.408,72.144
129,3281.540,58.039,4137.000,65.344,4964.382,71.429,4992.737,71.642,4250.632,65.930,5079.408,72.248,5021.724,71.835,5064.408,72.144
130,4217.092,65.772,4723.710,69.721,5009.053,71.744,5100.434,72.411,4616.816,68.785,5258.447,73.503,4850.000,70.590,5064.408,72.144
131,5028.158,71.719,5223.763,73.255,5135.434,72.652,5033.408,71.929,4569.789,68.423,5545.816,75.456,4938.684,71.227,5064.408,72.144
132,4298.855,66.463,4903.053,71.001,4209.053,65.681,4750.013,69.887,5404.382,74.668,5370.461,74.270,5210.776,73.175,5062.408,72.130
133,5639.303,76.173,5223.763,73.255,5080.408,72.255,5043.408,71.998,5206.868,73.211,5042.066,71.983,5353.487,74.173,5064.408,72.144
134,5638.039,76.211,5027.408,71.887,5098.079,72.380,5136.105,72.660,5251.566,73.537,5144.092,72.706,5264.132,73.554,5064.408,72.144
135,3554.474,60.565,4501.026,68.092,4988.053,71.597,4430.237,67.480,5084.434,72.301,4431.289,67.526,5126.434,72.591,5064.408,72.144
136,5309.882,74.145,4474.026,67.894,4760.987,69.947,5072.079,72.200,5755.974,77.154,5318.447,73.910,5291.474,73.745,5066.408,72.158
137,6156.382,79.961,5405.447,74.496,5167.132,72.891,5200.145,73.126,6099.224,79.504,4689.013,69.449,4972.697,71.475,5062.408,72.130
138,6028.474,79.215,4935.395,71.235,5080.408,72.255,5266.184,73.603,6159.658,79.946,4699.684,69.529,5224.447,73.271,5064.408,72.144
139,6561.908,82.373,5324.105,73.942,5172.145,72.935,5046.408,72.019,5841.697,77.744,5531.816,75.363,4869.000,70.724,5064.408,72.144
140,3609.750,60.973,4829.382,70.478,5123.750,72.560,4887.710,70.887,4870.303,70.712,3930.539,63.646,5104.763,72.438,5064.408,72.144
141,4637.921,69.014,5170.421,72.884,5443.329,74.893,5132.105,72.633,4705.868,69.467,4683.342,69.405,4845.000,70.554,5064.408,72.144
142,5236.329,73.272,5473.447,74.951,4669.961,69.274,5217.816,73.250,4827.276,70.388,5266.447,73.558,5038.395,71.954,5062.408,72.130
143,5738.461,76.707,5633.789,76.019,4271.750,66.180,5176.789,72.952,5375.368,74.465,5531.816,75.363,5005.711,71.715,5065.408,72.151
144,3483.145,59.699,4873.053,70.790,5322.908,74.026,5118.434,72.535,3984.224,63.820,4426.618,67.489,4910.013,71.023,5065.408,72.151
145,5215.408,73.183,4903.053,71.001,5198.487,73.121,5003.737,71.719,4843.618,70.510,5392.461,74.418,5228.447,73.299,5062.408,72.130
