# CaFe Be9 MF Systematics Cuts Summary
# entry -> id for a particular combination of random gaussian-generated data analysis cuts  
# real_yield -> randoms-subtracted, integrated missing-momentum counts
# rand_yield -> randoms (accidentals selected) yield integrated missing-momentum counts
# total_yield -> total (reals+randoms) integrated missing-momentum counts
entry,real_yield,real_yield_err,rand_yield,rand_yield_err,total_yield_total_yield_err
432,68570.659,261.922,24.342,2.830,68595.000,261.906
433,79543.067,282.104,29.934,3.138,79573.000,282.087
434,78647.422,280.516,31.579,3.223,78679.000,280.498
435,55766.933,236.207,20.066,2.569,55787.000,236.193
436,60900.276,246.836,20.724,2.611,60921.000,246.822
437,73467.356,271.114,26.645,2.961,73494.000,271.098
438,62463.948,249.984,21.053,2.632,62485.000,249.970
439,59087.592,243.132,19.408,2.527,59107.000,243.119
440,45449.513,213.231,13.487,2.106,45463.000,213.221
441,52979.236,230.223,17.763,2.417,52997.000,230.211
442,64845.341,254.714,25.658,2.905,64871.000,254.698
443,54046.539,232.523,15.461,2.255,54062.000,232.512
444,63637.933,252.318,20.066,2.569,63658.000,252.305
445,74477.341,272.968,25.658,2.905,74503.000,272.952
446,81776.079,286.037,30.921,3.189,81807.000,286.019
447,78377.014,280.021,25.987,2.924,78403.000,280.005
448,72285.000,268.920,25.000,2.868,72310.000,268.905
449,84124.393,290.110,29.605,3.121,84154.000,290.093
450,74475.040,272.969,27.961,3.033,74503.000,272.952
451,72765.684,269.816,26.316,2.942,72792.000,269.800
452,82523.355,287.330,26.645,2.961,82550.000,287.315
453,81650.368,285.810,27.632,3.015,81678.000,285.794
454,113546.185,337.043,38.816,3.573,113585.000,337.024
455,97730.448,312.690,33.553,3.322,97764.000,312.672
456,111089.855,333.379,39.145,3.588,111129.000,333.360
457,119681.292,346.040,46.711,3.920,119728.000,346.017
458,97868.435,312.908,32.566,3.273,97901.000,312.891
459,79549.356,282.108,26.645,2.961,79576.000,282.092
460,86158.066,293.595,29.934,3.138,86188.000,293.578
461,87099.724,295.193,29.276,3.103,87129.000,295.176
462,69277.985,263.268,24.013,2.811,69302.000,263.253
463,68880.975,262.510,23.026,2.752,68904.000,262.496
464,75630.342,275.072,25.658,2.905,75656.000,275.056
465,100027.433,316.340,32.566,3.273,100060.000,316.323
466,103778.131,322.218,34.868,3.387,103813.000,322.200
